Tag   Precision  Recall     F-Measure 
PRP   1.00       1.00       1.00      
VBP   0.50       1.00       0.67      
DT    0.00       0.00       0.00      
NN    0.50       0.67       0.57      
IN    1.00       0.50       0.67      
TO    1.00       1.00       1.00      
RB    1.00       1.00       1.00      
VBD   1.00       1.00       1.00      
VBG   1.00       1.00       1.00      
VB    1.00       1.00       1.00      
PRP$  1.00       1.00       1.00      
NNS   1.00       1.00       1.00      
