POS_CURR        PREV2_WORD         PREV2_TAG  PREV_WORD          PREV_TAG   NEXT_WORD          NEXT_TAG   NEXT2_WORD         NEXT2_TAG 
CD              Campbell           NNP        in                 IN         ,                  ,          will               MD        
NNP             died               VBD        in                 IN         .                  .          NULL               NULL      
NNP             NULL               NULL       In                 IN         ,                  ,          the                DT        
CD              against            IN         fiscal             JJ         earnings           NNS        when               WRB       
NNP             65                 CD         in                 IN         1991               CD         ,                  ,         
CD              in                 IN         October            NNP        ,                  ,          ``                 ``        
NNP             scheduled          VBN        for                IN         17                 CD         .                  .         
CD              for                IN         Nov.               NNP        .                  .          NULL               NULL      
CD              For                IN         fiscal             JJ         ,                  ,          Mr.                NNP       
CD              as                 IN         early              JJ         .                  .          ``                 ``        
CD              for                IN         fiscal             JJ         .                  .          ``                 ``        
JJ              drop               NN         in                 IN         profit             NN         ,                  ,         
CD              In                 IN         the                DT         period             NN         ,                  ,         
JJ              unusually          RB         strong             JJ         quarter            NN         ,                  ,         
NN              strong             JJ         third              JJ         ,                  ,          when               WRB       
JJ              However            RB         ,                  ,          operating          NN         profit             NN        
JJ              in                 IN         the                DT         quarter            NN         ,                  ,         
NN              the                DT         second             JJ         ,                  ,          analysts           NNS       
NNP             announced          VBD        in                 IN         that               IN         it                 PRP       
CD              end                NN         of                 IN         and                CC         bought             VBD       
JJ              since              IN         the                DT         quarter            NN         of                 IN        
NN              the                DT         fourth             JJ         of                 IN         1987               CD        
IN              fourth             JJ         quarter            NN         1987               CD         .                  .         
CD              quarter            NN         of                 IN         .                  .          NULL               NULL      
NNP             to                 TO         extend             VB         's                 POS        sharp              JJ        
NNP             points             NNS        on                 IN         ,                  ,          drifted            VBD       
NNP             176.1              CD         million            CD         .                  .          NULL               NULL      
NNP             NULL               NULL       The                DT         survey             NN         of                 IN        
NNP             report             NN         on                 IN         employment         NN         scheduled          VBN       
JJ              plans              VBZ        a                  DT         charge             NN         ,                  ,         
NNP             20                 CD         1/8                CD         after              IN         Georgia-Pacific    NNP       
NNP             2                  CD         1/2                CD         ,                  ,          lost               VBD       
JJ              forecast           NN         that               IN         income             NN         from               IN        
NNP             for                IN         the                DT         quarter            NN         rose               VBD       
NN              the                DT         September          NNP        rose               VBD        about              IN        
NNP             drop               NN         on                 IN         13                 CD         ,                  ,         
CD              on                 IN         Oct.               NNP        ,                  ,          Kidder             NNP       
NNP             NULL               NULL       Since              IN         's                 POS        minicrash          NN        
NNP             fall               NN         on                 IN         13                 CD         ,                  ,         
CD              on                 IN         Oct.               NNP        ,                  ,          though             IN        
NNP             shortly            RB         after              IN         13                 CD         to                 TO        
CD              after              IN         Oct.               NNP        to                 TO         telephone          NN        
CD              of                 IN         the                DT         crash              NN         --                 :         
CD              back               RB         to                 TO         ,                  ,          ''                 ''        
CD              back               RB         to                 TO         .                  .          NULL               NULL      
CD              back               RB         to                 TO         .                  .          ''                 ''        
NNP             NULL               NULL       The                DT         13                 CD         plunge             NN        
CD              The                DT         Oct.               NNP        plunge             NN         was                VBD       
CD              by                 IN         the                DT         stock-market       NN         crash              NN        
CD              than               IN         in                 IN         .                  .          NULL               NULL      
NNP             By                 IN         this               DT         ,                  ,          program            NN        
NNP             then               RB         came               VBD        13                 CD         and                CC        
CD              came               VBD        Oct.               NNP        and                CC         the                DT        
CD              Chicago            NNP        in                 IN         ,                  ,          and                CC        
CD              Crash              NNP        of                 IN         that               WDT        protects           VBZ       
CD              But                CC         in                 IN         ,                  ,          program            NN        
JJ              change             NN         (                  (          ,                  ,          1937-40            JJ        
NNP             NULL               NULL       In                 IN         1988               CD         ,                  ,         
CD              In                 IN         June               NNP        ,                  ,          I                  PRP       
CD              But                CC         a                  DT         law                NN         barred             VBD       
CD              Act                NNP        of                 IN         says               VBZ        Voice              NNP       
CD              for                IN         his                PRP$       Cask               NNP        23                 CD        
NN              Cabernet           NNP        this               DT         ,                  ,          few                JJ        
CD              Diamond            NN         Creek              NNP        Lake               NNP        Vineyard           NNP       
NN              in                 IN         this               DT         with               IN         a                  DT        
CD              growths            NNS        from               IN         and                CC         1986               CD        
CD              1985               CD         and                CC         are                VBP        $                  $         
CD              vintage            NN         like               IN         ;                  :          the                DT        
CD              spectacularly      RB         rich               JJ         runs               VBZ        $                  $         
CD              was                VBD        the                DT         Salon              NNP        de                 FW        
CD              Guigal             NNP        's                 POS        Cote               NNP        Rotie              NNP       
CD              With               IN         the                DT         vintage            NN         ,                  ,         
CD              offered            VBN        its                PRP$       Corton-Charlemagne NN         for                IN        
CD              Secilia            NNP        Unico              NNP        (                  (          released           VBN       
CD              Grange             NNP        Hermitage          NNP        .                  .          NULL               NULL      
NNS             from               IN         the                DT         and                CC         '50s               NNS       
NNS             '40s               NNS        and                CC         ,                  ,          which              WDT       
CD              last               JJ         was                VBD        )                  )          and                CC        
CD              cases              NNS        in                 IN         .                  .          NULL               NULL      
CD              the                DT         Dunn               NNP        Cabernet           NNP        ,                  ,         
CD              --                 :          the                DT         Salon              NNP        is                 VBZ       
CD              's                 POS        Leap               NNP        Cask               NNP        23                 CD        
NNP             NULL               NULL       By                 IN         it                 PRP        should             MD        
NNP             country            NN         's                 POS        25                 CD         elections          NNS       
CD              's                 POS        Feb.               NNP        elections          NNS        ,                  ,         
CD              in                 IN         fiscal             JJ         in                 IN         hopes              NNS       
NNP             government         NN         in                 IN         .                  .          NULL               NULL      
NNP             protesters         NNS        in                 IN         .                  .          NULL               NULL      
NNP             at                 IN         the                DT         2-3                CD         tete-a-tete        NN        
CD              the                DT         Dec.               NNP        tete-a-tete        NN         .                  .         
NNP             Scotland           NNP        last               JJ         ,                  ,          killing            VBG       
NNP             York               NNP        ,                  ,          ,                  ,          in                 IN        
NN              %                  NN         this               DT         from               IN         a                  DT        
NNP             corn               NN         in                 IN         ,                  ,          which              WDT       
NNP             delivered          VBN        by                 IN         ,                  ,          which              WDT       
NN              difficult          JJ         this               DT         because            IN         of                 IN        
NNP             contract           NN         for                IN         delivery           NN         slipped            VBD       
NN              sluggish           JJ         this               DT         despite            IN         the                DT        
CD              by                 IN         the                DT         drought            NN         .                  .         
CD              before             IN         the                DT         corn               NN         harvest            NN        
NNP             month              NN         of                 IN         because            IN         of                 IN        
NN              in                 IN         the                DT         .                  .          NULL               NULL      
NNP             oil                NN         for                IN         delivery           NN         ended              VBD       
NNP             Intermediate       NNP        for                IN         delivery           NN         advanced           VBD       
NNP             that               WDT        began              VBD        .                  .          NULL               NULL      
NNP             NULL               NULL       NULL               NULL       delivery           NN         gold               NN        
NNP             NULL               NULL       NULL               NULL       silver             NN         declined           VBD       
NNP             NULL               NULL       NULL               NULL       platinum           NN         was                VBD       
NNP             partially          RB         recovered          VBD        's                 POS        declines           NNS       
NNP             NULL               NULL       The                DT         contract           NN         rose               VBD       
NNP             Chicago            NNP        's                 POS        index              NN         rose               VBD       
NNP             NULL               NULL       The                DT         index              NN         was                VBD       
NNP             that               IN         the                DT         survey             NN         of                 IN        
CD              from               IN         a                  DT         law                NN         that               WDT       
NNP             until              IN         last               JJ         ,                  ,          when               WRB       
CD              argued             VBN        since              IN         ,                  ,          when               WRB       
CD              resolution         NN         in                 IN         condemning         VBG        the                DT        
NNP             issue              NN         last               JJ         .                  .          NULL               NULL      
CD              received           VBD        in                 IN         .                  .          NULL               NULL      
NNP             NULL               NULL       On                 IN         ,                  ,          the                DT        
NNP             quitting           VBG        effective          JJ         31                 CD         to                 TO        
CD              effective          JJ         Dec.               NNP        to                 TO         join               VB        
NNP             ;                  :          in                 IN         ,                  ,          Congress           NNP       
NNP             industry           NN         in                 IN         1988               CD         .                  .         
CD              in                 IN         March              NNP        .                  .          NULL               NULL      
NNP             scheduled          VBN        next               JJ         in                 IN         New                NNP       
CD              adopted            VBN        in                 IN         prohibits          NNS        the                DT        
NNP             press              NN         last               JJ         ,                  ,          two                CD        
NNP             stock              NN         in                 IN         1986               CD         .                  .         
