POS_CURR        PREV2_WORD         PREV2_TAG  PREV_WORD          PREV_TAG   NEXT_WORD          NEXT_TAG   NEXT2_WORD         NEXT2_TAG 
NNP             Prudential-Bache   NNP        in                 IN         York               NNP        .                  .         
NNP             in                 IN         New                NNP        .                  .          NULL               NULL      
NNP             in                 IN         the                DT         and                CC         Italy              NNP       
NNP             U.K.               NNP        and                CC         ,                  ,          appear             VBP       
NNP             results            NNS        in                 IN         units              NNS        .                  .         
NNP             in                 IN         the                DT         frozen             JJ         foods              NNS       
NNP             especially         RB         in                 IN         ,                  ,          and                CC        
NNP             week               NN         in                 IN         said               VBD        Mr.                NNP       
NNP             from               IN         the                DT         ,                  ,          Ohio               NNP       
NNP             Lorain             NNP        ,                  ,          ,                  ,          plant              NN        
NNP             venture            NN         with               IN         's                 POS        Kobe               NNP       
NNP             Vargas             NNP        of                 IN         del                FW         Rey                NNP       
FW              of                 IN         Marina             NNP        Rey                NNP        ,                  ,         
NNP             Marina             NNP        del                FW         ,                  ,          Calif.             NNP       
NNP             Rey                NNP        ,                  ,          ,                  ,          were               VBD       
NNP             ,                  ,          of                 IN         Hills              NNP        ,                  ,         
NNP             of                 IN         Beverly            NNP        ,                  ,          nor                CC        
NNP             Co.                NNP        ,                  ,          ,                  ,          and                CC        
NNP             Otero              NNP        of                 IN         ,                  ,          were               VBD       
NNP             n't                RB         any                DT         telephone          NN         listing            NN        
NNP             ,                  ,          of                 IN         ,                  ,          Fla.               NNP       
NNP             Lauderhill         NNP        ,                  ,          ,                  ,          and                CC        
NNP             Rosenblum          NNP        of                 IN         ,                  ,          Fla.               NNP       
NNP             Plantation         NNP        ,                  ,          ,                  ,          were               VBD       
NNP             ,                  ,          of                 IN         ,                  ,          Calif.             NNP       
NNP             Danville           NNP        ,                  ,          ,                  ,          and                CC        
NNP             also               RB         of                 IN         ,                  ,          were               VBD       
NNP             ,                  ,          of                 IN         Clemens            NNP        ,                  ,         
NNP             of                 IN         Mount              NNP        ,                  ,          Mich.              NNP       
NNP             Clemens            NNP        ,                  ,          ,                  ,          and                CC        
NNP             ,                  ,          of                 IN         Heights            NNP        ,                  ,         
NNP             of                 IN         Sterling           NNP        ,                  ,          Mich.              NNP       
NNP             Heights            NNP        ,                  ,          ,                  ,          consented          VBD       
NNP             ,                  ,          of                 IN         Orleans            NNP        ,                  ,         
NNP             of                 IN         New                NNP        ,                  ,          and                CC        
NNP             also               RB         of                 IN         Orleans            NNP        ,                  ,         
NNP             of                 IN         New                NNP        ,                  ,          consented          VBD       
NNP             Corp.              NNP        ,                  ,          York               NNP        ,                  ,         
NNP             ,                  ,          New                NNP        ,                  ,          and                CC        
NNP             both               DT         of                 IN         Island             NNP        ,                  ,         
NNP             of                 IN         Mercer             NNP        ,                  ,          Wash.              NNP       
NNP             Island             NNP        ,                  ,          ,                  ,          and                CC        
NNP             ,                  ,          of                 IN         Bank               NNP        ,                  ,         
NNP             of                 IN         Red                NNP        ,                  ,          N.J.               NNP       
NNP             Bank               NNP        ,                  ,          --                 :          consented          VBD       
NNP             ,                  ,          of                 IN         ,                  ,          Del.               NNP       
NNP             Georgetown         NNP        ,                  ,          ,                  ,          and                CC        
NNP             also               RB         of                 IN         ,                  ,          were               VBD       
NNP             Inc.               NNP        ,                  ,          York               NNP        ,                  ,         
NNP             ,                  ,          New                NNP        ,                  ,          which              WDT       
NNP             Adams              NNP        ,                  ,          ,                  ,          Texas              NNP       
NNP             Killeen            NNP        ,                  ,          ,                  ,          fined              VBD       
NNP             Jr.                NNP        ,                  ,          Shores             NNP        ,                  ,         
NNP             ,                  ,          Reddington         NNP        ,                  ,          Fla.               NNP       
NNP             Shores             NNP        ,                  ,          ,                  ,          $                  $         
NNP             Anthony            NNP        ,                  ,          Heights            NNP        ,                  ,         
NNP             ,                  ,          Arlington          NNP        ,                  ,          Ill.               NNP       
NNP             Heights            NNP        ,                  ,          ,                  ,          $                  $         
NNP             Stirlen            NNP        ,                  ,          Heights            NNP        ,                  ,         
NNP             Bonnell            NNP        ,                  ,          ,                  ,          Colo.              NNP       
NNP             Boulder            NNP        ,                  ,          ,                  ,          $                  $         
NNP             Boorse             NNP        ,                  ,          ,                  ,          Pa.                NNP       
NNP             Horsham            NNP        ,                  ,          ;                  :          David              NNP       
NNP             Chiodo             NNP        ,                  ,          ,                  ,          $                  $         
NNP             Cotran             NNP        ,                  ,          ,                  ,          $                  $         
NNP             Davis              NNP        ,                  ,          ,                  ,          Miss.              NNP       
NNP             Colonsville        NNP        ,                  ,          ,                  ,          fined              VBD       
NNP             Dompierre          NNP        ,                  ,          ,                  ,          Fla.               NNP       
NNP             Valrico            NNP        ,                  ,          ,                  ,          $                  $         
NNP             Felten             NNP        ,                  ,          Canada             NNP        ,                  ,         
NNP             ,                  ,          La                 NNP        ,                  ,          Calif.             NNP       
NNP             Canada             NNP        ,                  ,          ,                  ,          fined              VBD       
NNP             Spitler            NNP        ,                  ,          Canada             NNP        ,                  ,         
NNP             ,                  ,          La                 NNP        ,                  ,          fined              VBD       
NNP             Fishman            NNP        ,                  ,          ,                  ,          Fla.               NNP       
NNP             Longwood           NNP        ,                  ,          ,                  ,          fined              VBD       
NNP             Floyd              NNP        ,                  ,          ,                  ,          $                  $         
NNP             Houston            NNP        ,                  ,          ,                  ,          N.Y.               NNP       
NNP             Bronx              NNP        ,                  ,          ,                  ,          $                  $         
NNP             Jalaalwalikraam    NNP        ,                  ,          ,                  ,          N.Y.               NNP       
NNP             Glenham            NNP        ,                  ,          ,                  ,          $                  $         
NNP             Knapp              NNP        ,                  ,          ,                  ,          $                  $         
NNP             Martin             NNP        ,                  ,          Louis              NNP        ,                  ,         
NNP             ,                  ,          St.                NNP        ,                  ,          $                  $         
NNP             Jr.                NNP        ,                  ,          Park               NNP        ,                  ,         
NNP             ,                  ,          Palisades          NNP        ,                  ,          N.J.               NNP       
NNP             Park               NNP        ,                  ,          ,                  ,          $                  $         
NNP             Najarian           NNP        ,                  ,          Park               NNP        ,                  ,         
NNP             ,                  ,          Brooklyn           NNP        ,                  ,          Minn.              NNP       
NNP             Norwick            NNP        ,                  ,          ,                  ,          N.Y.               NNP       
NNP             Nesconset          NNP        ,                  ,          ,                  ,          $                  $         
NNP             Sr.                NNP        ,                  ,          ,                  ,          Pa.                NNP       
NNP             Hermitage          NNP        ,                  ,          ,                  ,          fined              VBD       
NNP             Rankin             NNP        ,                  ,          St.                NNP        Louis              NNP       
NNP             ,                  ,          Lake               NNP        Louis              NNP        ,                  ,         
NNP             Lake               NNP        St.                NNP        ,                  ,          Mo.                NNP       
NNP             Louis              NNP        ,                  ,          ,                  ,          $                  $         
NNP             Sanderoff          NNP        ,                  ,          ,                  ,          Md.                NNP       
NNP             Gaithersburg       NNP        ,                  ,          ,                  ,          fined              VBD       
NNP             Smith              NNP        ,                  ,          ,                  ,          N.J.               NNP       
NNP             Ridgefield         NNP        ,                  ,          ,                  ,          $                  $         
NNP             Spence             NNP        ,                  ,          ,                  ,          Ore.               NNP       
NNP             Aloha              NNP        ,                  ,          ,                  ,          $                  $         
NNP             Sun                NNP        ,                  ,          Estates            NNP        ,                  ,         
NNP             ,                  ,          Jamaica            NNP        ,                  ,          N.Y.               NNP       
NNP             Estates            NNP        ,                  ,          ,                  ,          $                  $         
NNP             Swearingen         NNP        ,                  ,          ,                  ,          $                  $         
NNP             Wong               NNP        ,                  ,          Francisco          NNP        ,                  ,         
NNP             ,                  ,          San                NNP        ,                  ,          $                  $         
NNP             Zayed              NNP        ,                  ,          Francisco          NNP        ,                  ,         
NNP             Enright            NNP        ,                  ,          Hills              NNP        ,                  ,         
NNP             ,                  ,          Rolling            NNP        ,                  ,          Calif.             NNP       
NNP             Hills              NNP        ,                  ,          ,                  ,          fined              VBD       
NNP             Russel             NNP        ,                  ,          ,                  ,          Calif.             NNP       
NNP             Glendale           NNP        ,                  ,          ,                  ,          fined              VBD       
NNP             Dahl               NNP        ,                  ,          Valley             NNP        ,                  ,         
NNP             ,                  ,          Fountain           NNP        ,                  ,          Calif.             NNP       
NNP             Valley             NNP        ,                  ,          ,                  ,          fined              VBD       
NNP             Cole               NNP        ,                  ,          ,                  ,          Miss.              NNP       
NNP             Jackson            NNP        ,                  ,          ,                  ,          $                  $         
NNP             Cross              NNP        ,                  ,          ,                  ,          $                  $         
NNP             Meinders           NNP        ,                  ,          Springs            NNP        ,                  ,         
NNP             ,                  ,          Colorado           NNP        ,                  ,          Colo.              NNP       
NNP             Springs            NNP        ,                  ,          ,                  ,          $                  $         
NNP             Cutrer             NNP        ,                  ,          Rouge              NNP        ,                  ,         
NNP             ,                  ,          Baton              NNP        ,                  ,          La.                NNP       
NNP             Rouge              NNP        ,                  ,          ,                  ,          $                  $         
NNP             Hale               NNP        ,                  ,          ,                  ,          Utah               NNP       
NNP             Midvale            NNP        ,                  ,          ,                  ,          $                  $         
NNP             Hayne              NNP        ,                  ,          Orleans            NNP        ,                  ,         
NNP             ,                  ,          New                NNP        ,                  ,          $                  $         
NNP             Kane               NNP        ,                  ,          Creek              NNP        ,                  ,         
NNP             ,                  ,          Coconut            NNP        ,                  ,          Fla.               NNP       
NNP             Creek              NNP        ,                  ,          ,                  ,          $                  $         
NNP             Merrick            NNP        ,                  ,          ,                  ,          Colo.              NNP       
NNP             Aurora             NNP        ,                  ,          ,                  ,          $                  $         
NNP             Miller             NNP        ,                  ,          Rouge              NNP        ,                  ,         
NNP             ,                  ,          Baton              NNP        ,                  ,          $                  $         
NNP             Pace               NNP        ,                  ,          York               NNP        ,                  ,         
NNP             Pitcher            NNP        ,                  ,          Providence         NNP        ,                  ,         
NNP             ,                  ,          New                NNP        ,                  ,          N.J.               NNP       
NNP             Providence         NNP        ,                  ,          ,                  ,          $                  $         
NNP             Russo              NNP        ,                  ,          ,                  ,          Pa.                NNP       
NNP             Bridgeville        NNP        ,                  ,          ,                  ,          $                  $         
NNP             Sandberg           NNP        ,                  ,          ,                  ,          Colo.              NNP       
NNP             Marchese           NNP        ,                  ,          Vegas              NNP        ,                  ,         
NNP             ,                  ,          Las                NNP        ,                  ,          Nev.               NNP       
NNP             Vegas              NNP        ,                  ,          ,                  ,          $                  $         
NNP             Monchecourt        NNP        ,                  ,          Vegas              NNP        ,                  ,         
NNP             ,                  ,          Las                NNP        ,                  ,          $                  $         
NNP             Smith              NNP        ,                  ,          City               NNP        ,                  ,         
NNP             ,                  ,          Carson             NNP        ,                  ,          Nev.               NNP       
NNP             City               NNP        ,                  ,          ,                  ,          two-year           JJ        
NNP             Associates         NNPS       ,                  ,          Haven              NNP        ,                  ,         
NNP             ,                  ,          Fair               NNP        ,                  ,          NULL               NULL      
NNP             rumors             NNS        that               IN         York               NNP        developer          NN        
NNP             that               IN         New                NNP        developer          NN         Donald             NNP       
NNP             controlled         VBN        by                 IN         investor           NN         Harold             NNP       
NNP             the                DT         fast-growing       JJ         futures            NNS        exchanges          NNS       
NNP             ,                  ,          a                  DT         firm               NN         that               WDT       
NNP             and                CC         the                DT         futures            NNS        markets            NNS       
NNP             futures            NNS        in                 IN         made               VBD        some               DT        
NNP             Inc.               NNP        in                 IN         .                  .          NULL               NULL      
NNP             trading            VBG        in                 IN         in                 IN         1982               CD        
NNP             day                NN         ,                  ,          's                 POS        stock-index        NN        
NNP             ,                  ,          a                  DT         Democrat           NNP        .                  .         
NNP             market             NN         in                 IN         and                CC         the                DT        
NNP             largely            RB         in                 IN         York               NNP        .                  .         
