POS_CURR        PREV2_WORD         PREV2_TAG  PREV_WORD          PREV_TAG   NEXT_WORD          NEXT_TAG   NEXT2_WORD         NEXT2_TAG 
$               shares             NNS        rose               VBD        3.375              CD         to                 TO        
CD              rose               VBD        $                  $          to                 TO         close              VB        
$               close              VB         at                 IN         47.125             CD         .                  .         
CD              at                 IN         $                  $          .                  .          NULL               NULL      
$               took               VBD        a                  DT         343                CD         million            CD        
CD              a                  DT         $                  $          million            CD         pretax             JJ        
CD              $                  $          343                CD         pretax             JJ         charge             NN        
$               salary             NN         of                 IN         877,663            CD         .                  .         
CD              of                 IN         $                  $          .                  .          NULL               NULL      
$               more               JJR        than               IN         244,000            CD         with               IN        
CD              than               IN         $                  $          with               IN         certain            JJ        
$               rose               VBD        to                 TO         5.7                CD         billion            CD        
CD              to                 TO         $                  $          billion            CD         from               IN        
CD              $                  $          5.7                CD         from               IN         $                  $         
$               billion            CD         from               IN         2.8                CD         billion            CD        
CD              from               IN         $                  $          billion            CD         and                CC        
CD              $                  $          2.8                CD         and                CC         net                JJ        
$               increased          VBD        to                 TO         274                CD         million            CD        
CD              to                 TO         $                  $          million            CD         from               IN        
CD              $                  $          274                CD         from               IN         $                  $         
$               million            CD         from               IN         130                CD         million            CD        
CD              from               IN         $                  $          million            CD         ,                  ,         
CD              $                  $          130                CD         ,                  ,          the                DT        
$               steelmaker         NN         earned             VBD        175                CD         million            CD        
CD              earned             VBD        $                  $          million            CD         ,                  ,         
CD              $                  $          175                CD         ,                  ,          or                 CC        
CD              ,                  ,          or                 CC         cents              NNS        a                  DT        
NNS             or                 CC         62                 CD         a                  DT         share              NN        
$               the                DT         year-earlier       JJ         228                CD         million            CD        
CD              year-earlier       JJ         $                  $          million            CD         ,                  ,         
CD              $                  $          228                CD         ,                  ,          or                 CC        
NNS             or                 CC         80                 CD         a                  DT         share              NN        
$               gains              NNS        of                 IN         98                 CD         million            CD        
CD              of                 IN         $                  $          million            CD         from               IN        
CD              $                  $          98                 CD         from               IN         asset              NN        
$               quarter            NN         totaled            VBD        61                 CD         million            CD        
CD              totaled            VBD        $                  $          million            CD         .                  .         
CD              $                  $          61                 CD         .                  .          NULL               NULL      
