POS_CURR        PREV2_WORD         PREV2_TAG  PREV_WORD          PREV_TAG   NEXT_WORD          NEXT_TAG   NEXT2_WORD         NEXT2_TAG 
NNP             out                RP         as                 IN         Soup               NNP        Co.                NNP       
NNP             as                 IN         Campbell           NNP        Co.                NNP        's                 POS       
NNP             Campbell           NNP        Soup               NNP        's                 POS        president          NN        
NNP             company            NN         's                 POS        U.S.A.             NNP        unit               NN        
NNP             's                 POS        Campbell           NNP        unit               NN         ,                  ,         
NNP             will               MD         run                VB         as                 IN         a                  DT        
NNP             on                 IN         the                DT         York               NNP        Stock              NNP       
NNP             the                DT         New                NNP        Stock              NNP        Exchange           NNP       
NNP             New                NNP        York               NNP        Exchange           NNP        ,                  ,         
NNP             York               NNP        Stock              NNP        ,                  ,          Campbell           NNP       
NNP             Exchange           NNP        ,                  ,          's                 POS        shares             NNS       
NNP             analyst            NN         for                IN         in                 IN         New                NNP       
NNP             volatility         NN         of                 IN         shares             NNS        in                 IN        
NNP             NULL               NULL       NULL               NULL       's                 POS        international      JJ        
NNP             example            NN         ,                  ,          is                 VBZ        a                  DT        
NNP             earnings           NNS        for                IN         Foods              NNP        PLC                NNP       
NNP             for                IN         Freshbake          NNP        PLC                NNP        and                CC        
NNP             Freshbake          NNP        Foods              NNP        and                CC         wound              VBD       
NNP             Similarly          RB         ,                  ,          's                 POS        Italian            JJ        
NNP             operation          NN         ,                  ,          Lazzaroni          NNP        &                  CC        
NNP             ,                  ,          D.                 NNP        &                  CC         Co.                NNP       
CC              D.                 NNP        Lazzaroni          NNP        Co.                NNP        ,                  ,         
NNP             Lazzaroni          NNP        &                  CC         ,                  ,          has                VBZ       
NNP             rapport            NN         with               IN         employees          NNS        ,                  ,         
NNP             except             IN         the                DT         Farm               NNP        unit               NN        
NNP             the                DT         Pepperidge         NNP        unit               NN         .                  .         
NNP             who                WP         joined             VBD        in                 IN         1986               CD        
NNP             well               RB         as                 IN         .                  .          NULL               NULL      
NNP             to                 TO         boost              VB         's                 POS        mediocre           NN        
NNP             %                  NN         of                 IN         's                 POS        stock              NN        
NNP             .                  .          ''                 ''         said               VBD        Mr.                NNP       
NNP             shares             NNS        of                 IN         stock              NN         and                CC        
NNP             performance        NN         of                 IN         U.S.A.             NNP        ,                  ,         
NNP             of                 IN         Campbell           NNP        ,                  ,          the                DT        
NNP             been               VBN        managing           VBG        U.S.A.             NNP        can                MD        
NNP             managing           VBG        Campbell           NNP        can                MD         hopefully          RB        
NNP             NULL               NULL       NULL               NULL       Corp.              NNP        posted             VBD       
NNP             NULL               NULL       USX                NNP        posted             VBD        a                  DT        
NNP             period             NN         ,                  ,          also               RB         had                VBD       
NNP             ,                  ,          as                 IN         sold               VBD        sizable            JJ        
NNP             analyst            NN         with               IN         Inc.               NNP        ,                  ,         
NNP             with               IN         PaineWebber        NNP        ,                  ,          said               VBD       
NNP             ,                  ,          hurt               VBD        results            NNS        .                  .         
NNP             Moreover           RB         ,                  ,          exports            NNS        more               RBR       
NNP             Japan              NNP        's                 POS        Steel              NNP        Ltd                NNP       
NNP             's                 POS        Kobe               NNP        Ltd                NNP        .                  .         
NNP             Kobe               NNP        Steel              NNP        .                  .          NULL               NULL      
NNP             Still              RB         ,                  ,          fared              VBD        better             JJR       
NNP             than               IN         either             DT         Steel              NNP        Corp.              NNP       
NNP             either             DT         Bethlehem          NNP        Corp.              NNP        ,                  ,         
NNP             Bethlehem          NNP        Steel              NNP        ,                  ,          which              WDT       
NNP             ,                  ,          or                 CC         Steel              NNP        Industries         NNPS      
NNP             or                 CC         Inland             NNP        Industries         NNPS       Inc.               NNP       
NNPS            Inland             NNP        Steel              NNP        Inc.               NNP        ,                  ,         
NNP             Steel              NNP        Industries         NNPS       ,                  ,          whose              WP$       
NNP             NULL               NULL       In                 IN         York               NNP        Stock              NNP       
NNP             In                 IN         New                NNP        Stock              NNP        Exchange           NNP       
NNP             New                NNP        York               NNP        Exchange           NNP        composite          JJ        
NNP             York               NNP        Stock              NNP        composite          JJ         trading            NN        
NNP             yesterday          NN         ,                  ,          shares             NNS        closed             VBD       
NNP             fact               NN         that               IN         's                 POS        steel              NN        
NNP             analyst            NN         with               IN         Lynch              NNP        Capital            NNP       
NNP             with               IN         Merrill            NNP        Capital            NNP        Markets            NNP       
NNP             Merrill            NNP        Lynch              NNP        Markets            NNP        ,                  ,         
NNP             Lynch              NNP        Capital            NNP        ,                  ,          said               VBD       
NNP             ,                  ,          said               VBD        may                MD         have               VB        
NNP             He                 PRP        said               VBD        also               RB         appeared           VBD       
NNP             for                IN         the                DT         Oil                NNP        Co.                NNP       
NNP             the                DT         Marathon           NNP        Co.                NNP        unit               NN        
NNP             Marathon           NNP        Oil                NNP        unit               NN         to                 TO        
NNP             NULL               NULL       The                DT         Oil                NNP        &                  CC        
NNP             The                DT         Texas              NNP        &                  CC         Gas                NNP       
CC              Texas              NNP        Oil                NNP        Gas                NNP        division           NN        
NNP             Oil                NNP        &                  CC         division           NN         continues          VBZ       
NNP             NULL               NULL       NULL               NULL       announced          VBD        in                 IN        
NNP             to                 TO         sell               VB         's                 POS        oil                NN        
NNP             NULL               NULL       NULL               NULL       has                VBZ        about              RB        
NNP             stake              NN         in                 IN         to                 TO         13.1               CD        
NNP             he                 PRP        believes           VBZ        would              MD         be                 VB        
NNP             NULL               NULL       The                DT         Association        NNP        of                 IN        
NNP             The                DT         National           NNP        of                 IN         Securities         NNPS      
IN              National           NNP        Association        NNP        Securities         NNPS       Dealers            NNPS      
NNPS            Association        NNP        of                 IN         Dealers            NNPS       ,                  ,         
NNPS            of                 IN         Securities         NNPS       ,                  ,          the                DT        
NNP             from               IN         the                DT         ,                  ,          three              CD        
NNP             NULL               NULL       NULL               NULL       Securities         NNPS       Group              NNP       
NNPS            NULL               NULL       First              NNP        Group              NNP        of                 IN        
NNP             First              NNP        Securities         NNPS       of                 IN         California         NNP       
IN              Securities         NNPS       Group              NNP        California         NNP        and                CC        
NNP             Group              NNP        of                 IN         and                CC         a                  DT        
NNP             with               IN         any                DT         member             NN         .                  .         
NNP             NULL               NULL       Neither            CC         Securities         NNPS       ,                  ,         
NNPS            Neither            CC         First              NNP        ,                  ,          of                 IN        
NNP             J.L                NNP        .                  .          &                  CC         Co.                NNP       
CC              .                  .          Henry              NNP        Co.                NNP        ,                  ,         
NNP             Henry              NNP        &                  CC         ,                  ,          Miami              NNP       
NNP             with               IN         any                DT         member             NN         .                  .         
NNP             NULL               NULL       NULL               NULL       Securities         NNP        Corp.              NNP       
NNP             NULL               NULL       Biscayne           NNP        Corp.              NNP        ,                  ,         
NNP             Biscayne           NNP        Securities         NNP        ,                  ,          of                 IN        
NNP             NULL               NULL       NULL               NULL       Securities         NNPS       ,                  ,         
NNPS            NULL               NULL       Triton             NNP        ,                  ,          of                 IN        
NNP             wrongdoing         NN         ,                  ,          and                CC         Mr.                NNP       
NNP             Officials          NNS        of                 IN         could              MD         n't                RB        
NNP             NULL               NULL       NULL               NULL       &                  CC         Co.                NNP       
CC              NULL               NULL       Crane              NNP        Co.                NNP        Securities         NNPS      
NNP             Crane              NNP        &                  CC         Securities         NNPS       Inc.               NNP       
NNPS            &                  CC         Co.                NNP        Inc.               NNP        ,                  ,         
NNP             Co.                NNP        Securities         NNPS       ,                  ,          of                 IN        
NNP             NULL               NULL       NULL               NULL       Commonwealth       NNP        Securities         NNP       
NNP             NULL               NULL       First              NNP        Securities         NNP        Corp.              NNP       
NNP             First              NNP        Commonwealth       NNP        Corp.              NNP        ,                  ,         
NNP             Commonwealth       NNP        Securities         NNP        ,                  ,          of                 IN        
NNP             NULL               NULL       NULL               NULL       Securities         NNPS       Corp.              NNP       
NNPS            NULL               NULL       Weatherly          NNP        Corp.              NNP        ,                  ,         
NNP             Weatherly          NNP        Securities         NNPS       ,                  ,          New                NNP       
NNP             W.N                NNP        .                  .          &                  CC         Co.                NNP       
CC              .                  .          Whelen             NNP        Co.                NNP        ,                  ,         
NNP             Whelen             NNP        &                  CC         ,                  ,          of                 IN        
NNP             of                 IN         the                DT         need               MD         improvement        NN        
NNP             and                CC         the                DT         differ             NN         over               IN        
NNP             NULL               NULL       NULL               NULL       Lehman             NNP        Hutton             NNP       
NNP             NULL               NULL       Shearson           NNP        Hutton             NNP        Inc.               NNP       
NNP             Shearson           NNP        Lehman             NNP        Inc.               NNP        ,                  ,         
NNP             Lehman             NNP        Hutton             NNP        ,                  ,          New                NNP       
NNP             -owned             VBN        by                 IN         Express            NNP        Co.                NNP       
NNP             by                 IN         American           NNP        Co.                NNP        ,                  ,         
NNP             American           NNP        Express            NNP        ,                  ,          consented          VBD       
NNP             to                 TO         the                DT         's                 POS        requests           NNS       
NNP             NULL               NULL       A                  DT         spokesman          NN         had                VBD       
NNP             association        NN         with               IN         members            NNS        ,                  ,         
NNP             15,000             CD         ;                  :          C.                 NNP        Najarian           NNP       
NNP             ;                  :          Robert             NNP        Najarian           NNP        ,                  ,         
NNP             Robert             NNP        C.                 NNP        ,                  ,          Brooklyn           NNP       
NNP             15,000             CD         ;                  :          Robert             NNP        Norwick            NNP       
NNP             ;                  :          Edward             NNP        Norwick            NNP        ,                  ,         
NNP             Edward             NNP        Robert             NNP        ,                  ,          Nesconset          NNP       
NNP             12,252             CD         ;                  :          Ann                NNP        Smith              NNP       
NNP             ;                  :          Sandra             NNP        Smith              NNP        ,                  ,         
NNP             Sandra             NNP        Ann                NNP        ,                  ,          Ridgefield         NNP       
NNP             on                 IN         the                DT         York               NNP        Stock              NNP       
NNP             the                DT         New                NNP        Stock              NNP        Exchange           NNP       
NNP             New                NNP        York               NNP        Exchange           NNP        by                 IN        
NNP             York               NNP        Stock              NNP        by                 IN         847                CD        
