POS_CURR        PREV2_WORD         PREV2_TAG  PREV_WORD          PREV_TAG   NEXT_WORD          NEXT_TAG   NEXT2_WORD         NEXT2_TAG 
NNP             NULL               NULL       NULL               NULL       Gordon             NNP        McGovern           NNP       
NNP             NULL               NULL       R.                 NNP        McGovern           NNP        was                VBD       
NNP             R.                 NNP        Gordon             NNP        was                VBD        forced             VBN       
NNP             power              NN         that               IN         family             NN         members            NNS       
NNP             NULL               NULL       NULL               NULL       M.                 NNP        Baum               NNP       
NNP             NULL               NULL       Herbert            NNP        Baum               NNP        ,                  ,         
NNP             Herbert            NNP        M.                 NNP        ,                  ,          the                DT        
NNP             ,                  ,          and                CC         L.                 NNP        Harper             NNP       
NNP             and                CC         Edwin              NNP        Harper             NNP        ,                  ,         
NNP             Edwin              NNP        L.                 NNP        ,                  ,          47                 CD        
NNP             to                 TO         Mr.                NNP        's                 POS        departure          NN        
NNP             ''                 ''         said               VBD        McMillin           NNP        ,                  ,         
NNP             said               VBD        John               NNP        ,                  ,          a                  DT        
NNP             NULL               NULL       Mr.                NNP        was                VBD        widely             RB        
NNP             ''                 ''         Mr.                NNP        added              VBD        .                  .         
NNP             neither            CC         Mr.                NNP        nor                CC         Mr.                NNP       
NNP             nor                CC         Mr.                NNP        has                VBZ        much               JJ        
NNP             NULL               NULL       Mr.                NNP        ,                  ,          a                  DT        
NNP             NULL               NULL       Mr.                NNP        ,                  ,          a                  DT        
NNP             NULL               NULL       Mr.                NNP        ,                  ,          63                 CD        
NNP             the                DT         late               JJ         T.                 NNP        Dorrance           NNP       
NNP             late               JJ         John               NNP        Dorrance           NNP        Jr.                NNP       
NNP             John               NNP        T.                 NNP        Jr.                NNP        ,                  ,         
NNP             T.                 NNP        Dorrance           NNP        ,                  ,          who                WP        
NNP             ,                  ,          Mr.                NNP        's                 POS        children           NNS       
NNP             said               VBD        Mr.                NNP        was                VBD        n't                RB        
NNP             said               VBD        Mr.                NNP        was                VBD        fired              VBN       
NNP             NULL               NULL       Mr.                NNP        himself            PRP        had                VBD       
NNP             said               VBD        Mr.                NNP        had                VBD        withdrawn          VBN       
NNP             ,                  ,          Mr.                NNP        received           VBD        a                  DT        
NNP             During             IN         Mr.                NNP        's                 POS        nine-year          JJ        
NNP             NULL               NULL       Mr.                NNP        said               VBD        he                 PRP       
NNP             and                CC         Mr.                NNP        both               DT         advocated          VBD       
NNP             said               VBD        Mr.                NNP        .                  .          ``                 ``        
NNP             NULL               NULL       Mr.                NNP        expressed          VBD        confidence         NN        
NNP             and                CC         Mr.                NNP        can                MD         convince           VB        
NNP             NULL               NULL       Mr.                NNP        said               VBD        the                DT        
NNP             ''                 ''         Mr.                NNP        said               VBD        .                  .         
NNP             said               VBD        Mr.                NNP        .                  .          ``                 ``        
NNP             NULL               NULL       NULL               NULL       Marcus             NNP        ,                  ,         
NNP             NULL               NULL       Peter              NNP        ,                  ,          an                 DT        
NNP             NULL               NULL       NULL               NULL       Bradford           NNP        ,                  ,         
NNP             NULL               NULL       Charles            NNP        ,                  ,          an                 DT        
NNP             that               IN         investor           NN         Icahn              NNP        had                VBD       
NNP             investor           NN         Carl               NNP        had                VBD        increased          VBN       
NNP             NULL               NULL       Mr.                NNP        has                VBZ        said               VBD       
NNP             firm               NN         ,                  ,          Fernando           NNP        Vargas             NNP       
NNP             ,                  ,          Louis              NNP        Vargas             NNP        of                 IN        
NNP             Louis              NNP        Fernando           NNP        of                 IN         Marina             NNP       
NNP             ,                  ,          Mr.                NNP        was                VBD        barred             VBN       
NNP             nor                CC         Mr.                NNP        could              MD         be                 VB        
NNP             firm               NN         ,                  ,          I.                 NNP        Otero              NNP       
NNP             ,                  ,          Henry              NNP        Otero              NNP        of                 IN        
NNP             Henry              NNP        I.                 NNP        of                 IN         Miami              NNP       
NNP             ,                  ,          Mr.                NNP        was                VBD        barred             VBN       
NNP             NULL               NULL       Mr.                NNP        ,                  ,          who                WP        
NNP             firm               NN         ,                  ,          Rosenblum          NNP        of                 IN        
NNP             ,                  ,          Alvin              NNP        of                 IN         Plantation         NNP       
NNP             NULL               NULL       Mr.                NNP        ,                  ,          who                WP        
NNP             firm               NN         ,                  ,          George             NNP        Chase              NNP       
NNP             ,                  ,          Delwin             NNP        Chase              NNP        ,                  ,         
NNP             Delwin             NNP        George             NNP        ,                  ,          also               RB        
NNP             and                CC         Mr.                NNP        consented          VBD        to                 TO        
NNP             NULL               NULL       Mr.                NNP        did                VBD        n't                RB        
NNP             president          NN         ,                  ,          R.                 NNP        Crane              NNP       
NNP             ,                  ,          Glenn              NNP        Crane              NNP        ,                  ,         
NNP             Glenn              NNP        R.                 NNP        ,                  ,          of                 IN        
NNP             NULL               NULL       Mr.                NNP        did                VBD        n't                RB        
NNP             president          NN         ,                  ,          J.                 NNP        Canepa             NNP       
NNP             ,                  ,          Kenneth            NNP        Canepa             NNP        ,                  ,         
NNP             Kenneth            NNP        J.                 NNP        ,                  ,          also               RB        
NNP             ,                  ,          Mr.                NNP        received           VBD        a                  DT        
NNP             NULL               NULL       Mr.                NNP        confirmed          VBD        he                 PRP       
NNP             principals         NNS        --                 :          Eugene             NNP        Keehn              NNP       
NNP             --                 :          Dell               NNP        Keehn              NNP        and                CC        
NNP             Dell               NNP        Eugene             NNP        and                CC         William            NNP       
NNP             Keehn              NNP        and                CC         Northy             NNP        Prater             NNP       
NNP             and                CC         William            NNP        Prater             NNP        Jr.                NNP       
NNP             William            NNP        Northy             NNP        Jr.                NNP        ,                  ,         
NNP             Northy             NNP        Prater             NNP        ,                  ,          both               DT        
NNP             ,                  ,          and                CC         Albert             NNP        McFall             NNP       
NNP             and                CC         Thomas             NNP        McFall             NNP        ,                  ,         
NNP             Thomas             NNP        Albert             NNP        ,                  ,          of                 IN        
NNP             ,                  ,          Mr.                NNP        ,                  ,          currently          RB        
NNP             president          NN         ,                  ,          N.                 NNP        Whelen             NNP       
NNP             ,                  ,          William            NNP        Whelen             NNP        Jr.                NNP       
NNP             William            NNP        N.                 NNP        Jr.                NNP        ,                  ,         
NNP             N.                 NNP        Whelen             NNP        ,                  ,          also               RB        
NNP             and                CC         Mr.                NNP        allegedly          RB         sold               VBD       
NNP             NULL               NULL       Mr.                NNP        denied             VBD        the                DT        
NNP             NULL               NULL       NULL               NULL       Derel              NNP        Adams              NNP       
NNP             NULL               NULL       Andrew             NNP        Adams              NNP        ,                  ,         
NNP             Andrew             NNP        Derel              NNP        ,                  ,          Killeen            NNP       
NNP             15,000             CD         ;                  :          Francis            NNP        Angier             NNP       
NNP             ;                  :          John               NNP        Angier             NNP        Jr.                NNP       
NNP             John               NNP        Francis            NNP        Jr.                NNP        ,                  ,         
NNP             Francis            NNP        Angier             NNP        ,                  ,          Reddington         NNP       
NNP             15,000             CD         ;                  :          Anthony            NNP        ,                  ,         
NNP             ;                  :          Mark               NNP        ,                  ,          Arlington          NNP       
NNP             suspension         NN         ;                  :          Stirlen            NNP        ,                  ,         
NNP             ;                  :          William            NNP        ,                  ,          Arlington          NNP       
NNP             suspension         NN         ;                  :          W.                 NNP        Bonnell            NNP       
NNP             ;                  :          Fred               NNP        Bonnell            NNP        ,                  ,         
NNP             Fred               NNP        W.                 NNP        ,                  ,          Boulder            NNP       
NNP             suspension         NN         ;                  :          J.                 NNP        Boorse             NNP       
NNP             ;                  :          Michael            NNP        Boorse             NNP        ,                  ,         
NNP             Michael            NNP        J.                 NNP        ,                  ,          Horsham            NNP       
NNP             Pa.                NNP        ;                  :          Chiodo             NNP        ,                  ,         
NNP             ;                  :          David              NNP        ,                  ,          Dallas             NNP       
NNP             principal          NN         ;                  :          Chafic             NNP        Cotran             NNP       
NNP             ;                  :          Camille            NNP        Cotran             NNP        ,                  ,         
NNP             Camille            NNP        Chafic             NNP        ,                  ,          London             NNP       
NNP             25,000             CD         ;                  :          William            NNP        Curry              NNP       
NNP             ;                  :          John               NNP        Curry              NNP        ,                  ,         
NNP             John               NNP        William            NNP        ,                  ,          fined              VBD       
NNP             NULL               NULL       NULL               NULL       William            NNP        Davis              NNP       
NNP             NULL               NULL       John               NNP        Davis              NNP        ,                  ,         
NNP             John               NNP        William            NNP        ,                  ,          Colonsville        NNP       
NNP             200,000            CD         ;                  :          Gerard             NNP        Dompierre          NNP       
NNP             ;                  :          Jeffrey            NNP        Dompierre          NNP        ,                  ,         
NNP             Jeffrey            NNP        Gerard             NNP        ,                  ,          Valrico            NNP       
NNP             suspension         NN         ;                  :          Michael            NNP        Felten             NNP       
NNP             ;                  :          Eugene             NNP        Felten             NNP        ,                  ,         
NNP             Eugene             NNP        Michael            NNP        ,                  ,          La                 NNP       
NNP             year               NN         ;                  :          Stewart            NNP        Spitler            NNP       
NNP             ;                  :          Marion             NNP        Spitler            NNP        ,                  ,         
NNP             Marion             NNP        Stewart            NNP        ,                  ,          La                 NNP       
NNP             NULL               NULL       Mr.                NNP        said               VBD        ,                  ,         
NNP             NULL               NULL       NULL               NULL       Stanley            NNP        Fishman            NNP       
NNP             NULL               NULL       Victor             NNP        Fishman            NNP        ,                  ,         
NNP             Victor             NNP        Stanley            NNP        ,                  ,          Longwood           NNP       
NNP             25,000             CD         ;                  :          Harold             NNP        Floyd              NNP       
NNP             ;                  :          William            NNP        Floyd              NNP        ,                  ,         
NNP             William            NNP        Harold             NNP        ,                  ,          Houston            NNP       
NNP             100,000            CD         ;                  :          Anthony            NNP        Houston            NNP       
NNP             ;                  :          Michael            NNP        Houston            NNP        ,                  ,         
NNP             Michael            NNP        Anthony            NNP        ,                  ,          Bronx              NNP       
NNP             15,000             CD         ;                  :          Jalaalwalikraam    NNP        ,                  ,         
NNP             ;                  :          Amin               NNP        ,                  ,          Glenham            NNP       
NNP             60,000             CD         ;                  :          F.                 NNP        Knapp              NNP       
NNP             ;                  :          Richard            NNP        Knapp              NNP        ,                  ,         
NNP             Richard            NNP        F.                 NNP        ,                  ,          London             NNP       
NNP             suspension         NN         ;                  :          Renee              NNP        Martin             NNP       
NNP             ;                  :          Deborah            NNP        Martin             NNP        ,                  ,         
NNP             Deborah            NNP        Renee              NNP        ,                  ,          St.                NNP       
NNP             15,000             CD         ;                  :          Francis            NNP        Muscolina          NNP       
NNP             ;                  :          Joseph             NNP        Muscolina          NNP        Jr.                NNP       
NNP             Joseph             NNP        Francis            NNP        Jr.                NNP        ,                  ,         
NNP             Francis            NNP        Muscolina          NNP        ,                  ,          Palisades          NNP       
NNP             NULL               NULL       NULL               NULL       D.                 NNP        Phipps             NNP       
NNP             NULL               NULL       Charles            NNP        Phipps             NNP        Sr.                NNP       
NNP             Charles            NNP        D.                 NNP        Sr.                NNP        ,                  ,         
NNP             D.                 NNP        Phipps             NNP        ,                  ,          Hermitage          NNP       
NNP             10,000             CD         ;                  :          Scott              NNP        Rankin             NNP       
NNP             ;                  :          David              NNP        Rankin             NNP        ,                  ,         
NNP             David              NNP        Scott              NNP        ,                  ,          Lake               NNP       
NNP             15,000             CD         ;                  :          A.                 NN         Sanderoff          NNP       
NN              ;                  :          Leigh              NNP        Sanderoff          NNP        ,                  ,         
NNP             Leigh              NNP        A.                 NN         ,                  ,          Gaithersburg       NNP       
NNP             15,000             CD         ;                  :          G.                 NNP        Spence             NNP       
NNP             ;                  :          James              NNP        Spence             NNP        ,                  ,         
NNP             James              NNP        G.                 NNP        ,                  ,          Aloha              NNP       
NNP             suspension         NN         ;                  :          Sun                NNP        ,                  ,         
NNP             ;                  :          Mona               NNP        ,                  ,          Jamaica            NNP       
NNP             60,000             CD         ;                  :          Swearingen         NNP        ,                  ,         
NNP             ;                  :          William            NNP        ,                  ,          Minneapolis        NNP       
NNP             suspension         NN         ;                  :          Bew                NNP        Wong               NNP       
NNP             ;                  :          John               NNP        Wong               NNP        ,                  ,         
NNP             John               NNP        Bew                NNP        ,                  ,          San                NNP       
NNP             25,000             CD         ;                  :          M.                 NNP        Zayed              NNP       
NNP             ;                  :          Rabia              NNP        Zayed              NNP        ,                  ,         
NNP             Rabia              NNP        M.                 NNP        ,                  ,          San                NNP       
NNP             suspended          VBN        :                  :          Veselich           NNP        Enright            NNP       
NNP             :                  :          Stephanie          NNP        Enright            NNP        ,                  ,         
NNP             Stephanie          NNP        Veselich           NNP        ,                  ,          Rolling            NNP       
NNP             11,762             CD         ;                  :          Lane               NNP        Russel             NNP       
NNP             ;                  :          Stuart             NNP        Russel             NNP        ,                  ,         
NNP             Stuart             NNP        Lane               NNP        ,                  ,          Glendale           NNP       
NNP             14,821             CD         ;                  :          Nilson             NNP        Dahl               NNP       
NNP             ;                  :          Devon              NNP        Dahl               NNP        ,                  ,         
NNP             Devon              NNP        Nilson             NNP        ,                  ,          Fountain           NNP       
NNP             NULL               NULL       Mr.                NNP        ,                  ,          a                  DT        
NNP             wrongdoing         NN         :                  :          L.                 NNP        Cole               NNP       
NNP             :                  :          Edward             NNP        Cole               NNP        ,                  ,         
NNP             Edward             NNP        L.                 NNP        ,                  ,          Jackson            NNP       
NNP             fine               NN         ;                  :          Rae                NNP        Cross              NNP       
NNP             ;                  :          Rita               NNP        Cross              NNP        ,                  ,         
NNP             Rita               NNP        Rae                NNP        ,                  ,          Denver             NNP       
NNP             suspension         NN         ;                  :          Richard            NNP        Meinders           NNP       
NNP             ;                  :          Thomas             NNP        Meinders           NNP        ,                  ,         
NNP             Thomas             NNP        Richard            NNP        ,                  ,          Colorado           NNP       
NNP             principal          NN         ;                  :          A.                 NNP        Cutrer             NNP       
NNP             ;                  :          Ronald             NNP        Cutrer             NNP        ,                  ,         
NNP             Ronald             NNP        A.                 NNP        ,                  ,          Baton              NNP       
NNP             suspension         NN         ;                  :          Grant              NNP        Hale               NNP       
NNP             ;                  :          Karl               NNP        Hale               NNP        ,                  ,         
NNP             Karl               NNP        Grant              NNP        ,                  ,          Midvale            NNP       
NNP             fine               NN         ;                  :          P.                 NNP        Hayne              NNP       
NNP             ;                  :          Clinton            NNP        Hayne              NNP        ,                  ,         
NNP             Clinton            NNP        P.                 NNP        ,                  ,          New                NNP       
NNP             suspension         NN         ;                  :          M.                 NNP        Kane               NNP       
NNP             ;                  :          Richard            NNP        Kane               NNP        ,                  ,         
NNP             Richard            NNP        M.                 NNP        ,                  ,          Coconut            NNP       
NNP             fine               NN         ;                  :          B.                 NNP        Merrick            NNP       
NNP             ;                  :          John               NNP        Merrick            NNP        ,                  ,         
NNP             John               NNP        B.                 NNP        ,                  ,          Aurora             NNP       
